,calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,species_Adelie,species_Chinstrap,species_Gentoo,island_Biscoe,island_Dream,island_Torgersen,gender_Female,gender_Male
60,6695,10,35.7,16.9,185.0,3150.0,2008.0,1.0,False,False,True,False,False,True,False
61,3719,13,41.3,21.1,195.0,4400.0,2008.0,1.0,False,False,True,False,False,False,True
62,5205,7,37.6,17.0,185.0,3600.0,2008.0,1.0,False,False,True,False,False,True,False
63,4300,8,41.1,18.2,192.0,4050.0,2008.0,1.0,False,False,True,False,False,False,True
64,6395,12,36.4,17.1,184.0,2850.0,2008.0,1.0,False,False,True,False,False,True,False
65,6659,12,41.6,18.0,192.0,3950.0,2008.0,1.0,False,False,True,False,False,False,True
66,4158,7,35.5,16.2,195.0,3350.0,2008.0,1.0,False,False,True,False,False,True,False
67,6614,11,41.1,19.1,188.0,4100.0,2008.0,1.0,False,False,True,False,False,False,True
68,5738,10,35.9,16.6,190.0,3050.0,2008.0,1.0,False,False,False,False,True,True,False
69,4721,10,41.8,19.4,198.0,4450.0,2008.0,1.0,False,False,False,False,True,False,True
70,3767,9,33.5,19.0,190.0,3600.0,2008.0,1.0,False,False,False,False,True,True,False
71,3994,9,39.7,18.4,190.0,3900.0,2008.0,1.0,False,False,False,False,True,False,True
72,3955,12,119.89,17.2,196.0,3800.0,2008.0,1.0,False,False,False,False,True,False,True
73,3826,13,45.8,18.9,197.0,4150.0,2008.0,1.0,False,False,False,False,True,False,True
74,4092,9,35.5,17.5,190.0,3700.0,2008.0,1.0,False,False,False,False,True,True,False
75,5402,7,42.8,18.5,195.0,4250.0,2008.0,1.0,False,False,False,False,True,False,True
76,6489,8,40.9,16.8,191.0,3700.0,2008.0,1.0,False,False,False,False,True,True,False
77,4879,10,37.2,19.4,184.0,3900.0,2008.0,1.0,False,False,False,False,True,False,True
78,7174,14,36.2,16.1,187.0,3550.0,2008.0,1.0,False,False,False,False,True,True,False
79,4755,10,42.1,19.1,195.0,4000.0,2008.0,1.0,False,False,False,False,True,False,True
80,4863,8,34.6,17.2,189.0,3200.0,2008.0,1.0,False,False,False,False,True,True,False
81,4439,14,42.9,17.6,196.0,4700.0,2008.0,1.0,False,False,False,False,True,False,True
82,4299,13,36.7,18.8,187.0,3800.0,2008.0,1.0,False,False,False,False,True,True,False
83,4858,13,35.1,18.018318318318318,190.0,4200.0,2008.0,1.0,False,False,False,False,True,False,True
84,4376,10,37.3,17.8,191.0,3350.0,2008.0,1.0,False,False,False,True,False,True,False
85,4694,8,41.3,20.3,194.0,3550.0,2008.0,1.0,False,False,False,True,False,False,True
86,4930,13,36.3,19.5,190.0,3800.0,2008.0,1.0,False,False,False,True,False,False,True
87,4283,10,36.9,18.6,189.0,3500.0,2008.0,1.0,False,False,False,True,False,True,False
88,5919,9,38.3,19.2,189.0,3950.0,2008.0,1.0,False,False,False,True,False,False,True
89,3504,12,38.9,18.8,190.0,3600.0,2008.0,1.0,False,False,False,True,False,True,False
90,5343,14,35.7,18.0,202.0,3550.0,2008.0,1.0,False,False,False,True,False,True,False
91,6557,11,41.1,18.1,205.0,4300.0,2008.0,1.0,False,False,False,True,False,False,True
92,4612,12,81.1,17.1,27.0,3400.0,2008.0,1.0,False,False,False,True,False,True,False
93,6507,11,39.6,18.1,186.0,4450.0,2008.0,1.0,False,False,False,True,False,False,True
94,5415,13,36.2,17.3,187.0,3300.0,2008.0,1.0,False,False,False,True,False,True,False
95,5012,10,40.8,18.9,208.0,4300.0,2008.0,1.0,False,False,False,True,False,False,True
96,6454,9,38.1,18.6,190.0,3700.0,2008.0,1.0,False,False,False,True,False,True,False
97,3904,13,40.3,18.5,196.0,4350.0,2008.0,1.0,False,False,False,True,False,False,True
98,6156,8,33.1,16.1,178.0,2900.0,2008.0,1.0,False,False,False,True,False,True,False
99,6886,8,43.2,18.5,192.0,4100.0,2008.0,1.0,False,False,False,True,False,False,True
100,3857,11,35.0,17.9,192.0,3725.0,2009.0,1.0,False,False,True,False,False,True,False
101,5231,10,41.0,20.0,203.0,4725.0,2009.0,1.0,False,False,True,False,False,False,True
102,6260,7,37.7,16.0,183.0,3075.0,2009.0,1.0,False,False,True,False,False,True,False
103,7141,8,37.8,20.0,190.0,4250.0,2009.0,1.0,False,False,True,False,False,False,True
104,4658,12,37.9,18.6,193.0,2925.0,2009.0,1.0,False,False,True,False,False,True,False
105,4957,10,39.7,18.9,184.0,3550.0,2009.0,1.0,False,False,True,False,False,False,True
106,6733,13,38.6,17.2,199.0,3750.0,2009.0,1.0,False,False,True,False,False,True,False
107,6014,10,38.2,20.0,190.0,3900.0,2009.0,1.0,False,False,True,False,False,False,True
108,4334,12,38.1,17.0,181.0,3175.0,2009.0,1.0,False,False,True,False,False,True,False
109,5010,14,43.2,19.0,197.0,4775.0,2009.0,1.0,False,False,True,False,False,False,True
110,6122,13,38.1,16.5,198.0,3825.0,2009.0,1.0,False,False,True,False,False,True,False
111,6118,14,45.6,20.3,191.0,4600.0,2009.0,1.0,False,False,True,False,False,False,True
112,5610,11,39.7,17.7,193.0,3200.0,2009.0,1.0,False,False,True,False,False,True,False
113,6019,14,42.2,19.5,197.0,4275.0,2009.0,1.0,False,False,True,False,False,False,True
114,4532,11,39.6,20.7,191.0,3900.0,2009.0,1.0,False,False,True,False,False,True,False
115,4826,11,42.7,18.3,196.0,4075.0,2009.0,1.0,False,False,True,False,False,False,True
116,5580,12,45.49421364985163,117.23,188.0,2900.0,2009.0,1.0,False,False,False,False,True,True,False
117,4731,12,37.3,20.5,199.0,3775.0,2009.0,1.0,False,False,False,False,True,False,True
118,5299,14,35.7,17.0,189.0,3350.0,2009.0,1.0,False,False,False,False,True,True,False
119,4695,11,41.1,18.6,189.0,3325.0,2009.0,1.0,False,False,False,False,True,False,True
120,5641,13,36.2,17.2,187.0,3150.0,2009.0,1.0,False,False,False,False,True,True,False
121,4294,13,45.49421364985163,18.018318318318318,27.0,3500.0,2009.0,1.0,False,False,False,False,True,False,True
122,5584,14,40.2,17.0,176.0,3450.0,2009.0,1.0,False,False,False,False,True,True,False
123,6630,7,41.4,18.5,202.0,3875.0,2009.0,1.0,False,False,False,False,True,False,True
124,6762,14,35.2,15.9,186.0,3050.0,2009.0,1.0,False,False,False,False,True,True,False
125,4716,12,40.6,19.0,199.0,4000.0,2009.0,1.0,False,False,False,False,True,False,True
126,3717,11,38.8,17.6,191.0,3275.0,2009.0,1.0,False,False,False,False,True,True,False
127,7032,9,41.5,18.3,195.0,4300.0,2009.0,1.0,False,False,False,False,True,False,True
128,5896,7,39.0,17.1,191.0,3050.0,2009.0,1.0,False,False,False,False,True,True,False
129,3810,14,44.1,18.0,210.0,4000.0,2009.0,1.0,False,False,False,False,True,False,True
130,7056,10,38.5,17.9,190.0,3325.0,2009.0,1.0,False,False,False,False,True,True,False
131,5141,14,43.1,19.2,197.0,3500.0,2009.0,1.0,False,False,False,False,True,False,True
132,4717,7,36.8,18.5,193.0,3500.0,2009.0,1.0,False,False,False,True,False,True,False
133,6243,14,37.5,18.5,199.0,4475.0,2009.0,1.0,False,False,False,True,False,False,True
134,3840,13,38.1,17.6,187.0,3425.0,2009.0,1.0,False,False,False,True,False,True,False
135,6605,9,45.49421364985163,18.018318318318318,190.0,3800.0,2009.0,1.0,False,False,False,True,False,False,True
136,5764,14,35.6,17.5,191.0,3175.0,2009.0,1.0,False,False,False,True,False,True,False
137,6985,9,40.2,20.1,200.0,3975.0,2009.0,1.0,False,False,False,True,False,False,True
138,6156,9,37.0,16.5,185.0,3400.0,2009.0,1.0,False,False,False,True,False,True,False
139,5040,14,39.7,17.9,193.0,4250.0,2009.0,1.0,False,False,False,True,False,False,True
140,3997,12,40.2,17.1,193.0,3400.0,2009.0,1.0,False,False,False,True,False,True,False
141,6844,10,40.6,17.2,187.0,3475.0,2009.0,1.0,False,False,False,True,False,False,True
142,4667,11,32.1,15.5,188.0,3050.0,2009.0,1.0,False,False,False,True,False,True,False
143,6062,10,40.7,17.0,190.0,3725.0,2009.0,1.0,False,False,False,True,False,False,True
144,3648,7,37.3,16.8,192.0,3000.0,2009.0,1.0,False,False,False,True,False,True,False
145,6856,8,39.0,18.7,185.0,3650.0,2009.0,1.0,False,False,False,True,False,False,True
146,5755,12,39.2,18.6,190.0,4250.0,2009.0,1.0,False,False,False,True,False,False,True
147,6356,10,124.3,18.4,184.0,3475.0,2009.0,1.0,False,False,False,True,False,False,True
148,3859,7,36.0,17.8,195.0,3450.0,2009.0,1.0,False,False,False,True,False,True,False
149,3563,8,37.8,18.1,193.0,3750.0,2009.0,1.0,False,False,False,True,False,False,True
150,4315,9,36.0,17.1,187.0,3700.0,2009.0,1.0,False,False,False,True,False,True,False
151,4060,12,41.5,18.5,201.0,4000.0,2009.0,1.0,False,False,False,True,False,False,True
152,6594,12,46.1,13.2,211.0,4500.0,2007.0,0.0,False,True,True,False,False,True,False
153,4403,11,50.0,16.3,230.0,5700.0,2007.0,0.0,False,True,True,False,False,False,True
154,4841,10,48.7,18.018318318318318,210.0,4450.0,2007.0,0.0,False,True,True,False,False,False,True
155,3916,14,50.0,15.2,218.0,5700.0,2007.0,0.0,False,True,True,False,False,False,True
156,4462,11,47.6,14.5,215.0,5400.0,2007.0,0.0,False,True,True,False,False,False,True
157,6503,8,46.5,13.5,210.0,4550.0,2007.0,0.0,False,True,True,False,False,True,False
158,6147,11,45.4,14.6,211.0,4800.0,2007.0,0.0,False,True,True,False,False,True,False
159,6033,13,46.7,15.3,219.0,5200.0,2007.0,0.0,False,True,True,False,False,False,True
160,6694,10,43.3,13.4,209.0,4400.0,2007.0,0.0,False,True,True,False,False,True,False
161,4743,12,46.8,127.26,215.0,5150.0,2007.0,0.0,False,True,True,False,False,False,True
162,5699,7,40.9,13.7,214.0,4650.0,2007.0,0.0,False,True,True,False,False,True,False
163,5103,14,49.0,16.1,216.0,5550.0,2007.0,0.0,False,True,True,False,False,False,True
164,7157,10,45.5,13.7,214.0,4650.0,2007.0,0.0,False,True,True,False,False,True,False
165,6321,13,48.4,14.6,213.0,5850.0,2007.0,0.0,False,True,True,False,False,False,True
166,6421,11,45.8,14.6,210.0,4200.0,2007.0,0.0,False,True,True,False,False,True,False
167,4325,14,49.3,15.7,217.0,5850.0,2007.0,0.0,False,True,True,False,False,False,True
168,4709,13,42.0,13.5,210.0,4150.0,2007.0,0.0,False,True,True,False,False,True,False
169,3677,9,49.2,15.2,221.0,6300.0,2007.0,0.0,False,True,True,False,False,False,True
170,5294,13,46.2,14.5,209.0,4800.0,2007.0,0.0,False,True,True,False,False,True,False
171,6942,12,48.7,15.1,222.0,5350.0,2009.0,0.0,False,True,True,False,False,False,True
172,5014,11,50.2,14.3,218.0,5700.0,2007.0,0.0,False,True,True,False,False,False,True
173,7074,7,45.49421364985163,14.5,23.0,3800.0,2009.0,0.0,False,True,True,False,False,True,False
174,6162,9,46.5,14.5,213.0,4400.0,2007.0,0.0,False,True,True,False,False,True,False
175,4451,9,46.3,15.8,215.0,5050.0,2007.0,0.0,False,True,True,False,False,False,True
176,4452,9,42.9,13.1,215.0,5000.0,2007.0,0.0,False,True,True,False,False,True,False
177,4232,11,46.1,15.1,215.0,5100.0,2007.0,0.0,False,True,True,False,False,False,True
178,4001,13,44.5,14.3,216.0,4100.0,2007.0,0.0,False,True,True,False,False,False,True
179,3533,12,47.8,15.0,215.0,5650.0,2007.0,0.0,False,True,True,False,False,False,True
180,6475,9,48.2,14.3,210.0,4600.0,2007.0,0.0,False,True,True,False,False,True,False
181,5209,14,50.0,15.3,220.0,5550.0,2007.0,0.0,False,True,True,False,False,False,True
182,4833,12,47.3,15.3,222.0,5250.0,2007.0,0.0,False,True,True,False,False,False,True
183,6978,9,42.8,14.2,209.0,4700.0,2007.0,0.0,False,True,True,False,False,True,False
184,6690,9,45.1,14.5,207.0,5050.0,2007.0,0.0,False,True,True,False,False,True,False
185,6230,11,59.6,17.0,230.0,6050.0,2007.0,0.0,False,True,True,False,False,False,True
186,5154,14,49.1,14.8,220.0,5150.0,2008.0,0.0,False,True,True,False,False,True,False
187,5473,9,48.4,16.3,220.0,5400.0,2008.0,0.0,False,True,True,False,False,False,True
188,4787,9,42.6,13.7,213.0,4950.0,2008.0,0.0,False,True,True,False,False,True,False
189,4658,12,44.4,17.3,219.0,5250.0,2008.0,0.0,False,True,True,False,False,False,True
190,3710,7,44.0,13.6,190.0,4350.0,2008.0,0.0,False,True,True,False,False,True,False
191,4504,11,48.7,15.7,208.0,5350.0,2008.0,0.0,False,True,True,False,False,False,True
192,5046,12,42.7,13.7,208.0,3950.0,2008.0,0.0,False,True,True,False,False,True,False
193,6542,8,49.6,16.0,225.0,5700.0,2008.0,0.0,False,True,True,False,False,False,True
194,6195,11,45.3,13.7,210.0,4300.0,2008.0,0.0,False,True,True,False,False,True,False
195,3951,10,49.6,15.0,216.0,4750.0,2008.0,0.0,False,True,True,False,False,False,True
196,6445,11,50.5,15.9,222.0,5550.0,2008.0,0.0,False,True,True,False,False,False,True
197,6018,10,43.6,13.9,217.0,4900.0,2008.0,0.0,False,True,True,False,False,True,False
198,3849,11,45.5,13.9,210.0,4200.0,2008.0,0.0,False,True,True,False,False,True,False
199,5320,7,50.5,15.9,225.0,5400.0,2008.0,0.0,False,True,True,False,False,False,True
200,6705,9,44.9,13.3,213.0,5100.0,2008.0,0.0,False,True,True,False,False,True,False
201,7196,9,45.2,15.8,215.0,5300.0,2008.0,0.0,False,True,True,False,False,False,True
202,4586,14,46.6,14.2,210.0,4850.0,2008.0,0.0,False,True,True,False,False,True,False
203,5010,8,48.5,14.1,220.0,5300.0,2008.0,0.0,False,True,True,False,False,False,True
204,7048,13,45.1,14.4,210.0,4400.0,2008.0,0.0,False,True,True,False,False,True,False
205,6635,13,50.1,15.0,225.0,5000.0,2008.0,0.0,False,True,True,False,False,False,True
206,4924,9,46.5,14.4,217.0,4900.0,2008.0,0.0,False,True,True,False,False,True,False
207,7079,9,45.0,15.4,220.0,5050.0,2008.0,0.0,False,True,True,False,False,False,True
208,5341,11,43.8,13.9,208.0,4300.0,2008.0,0.0,False,True,True,False,False,True,False
209,6982,10,45.5,15.0,220.0,5000.0,2008.0,0.0,False,True,True,False,False,False,True
210,4985,11,90.3,14.5,208.0,4450.0,2008.0,0.0,False,True,True,False,False,True,False
211,6261,13,50.4,15.3,224.0,5550.0,2008.0,0.0,False,True,True,False,False,False,True
212,4018,11,45.3,13.8,208.0,4200.0,2008.0,0.0,False,True,True,False,False,True,False
213,5288,14,46.2,14.9,221.0,5300.0,2008.0,0.0,False,True,True,False,False,False,True
214,6350,8,45.7,18.018318318318318,214.0,4400.0,2008.0,0.0,False,True,True,False,False,True,False
215,5737,13,54.3,15.7,231.0,5650.0,2008.0,0.0,False,True,True,False,False,False,True
216,6027,10,45.8,14.2,219.0,4700.0,2008.0,0.0,False,True,True,False,False,True,False
217,5679,7,49.8,16.8,230.0,5700.0,2008.0,0.0,False,True,True,False,False,False,True
218,6017,14,46.2,14.4,214.0,4650.0,2008.0,0.0,False,True,True,False,False,False,True
219,5760,9,49.5,16.2,229.0,5800.0,2008.0,0.0,False,True,True,False,False,False,True
220,4874,12,43.5,14.2,220.0,4700.0,2008.0,0.0,False,True,True,False,False,True,False
221,5404,13,50.7,15.0,223.0,5550.0,2008.0,0.0,False,True,True,False,False,False,True
222,5537,11,47.7,15.0,216.0,4750.0,2008.0,0.0,False,True,True,False,False,True,False
223,5108,7,46.4,15.6,221.0,5000.0,2008.0,0.0,False,True,True,False,False,False,True
224,5023,11,48.2,15.6,221.0,5100.0,2008.0,0.0,False,True,True,False,False,False,True
225,5924,12,46.5,14.8,217.0,5200.0,2008.0,0.0,False,True,True,False,False,True,False
226,7144,12,46.4,15.0,216.0,4700.0,2008.0,0.0,False,True,True,False,False,True,False
227,4718,12,48.6,16.0,230.0,5800.0,2008.0,0.0,False,True,True,False,False,False,True
228,5191,9,47.5,18.018318318318318,190.0,3800.0,2008.0,0.0,False,True,True,False,False,True,False
229,4082,9,51.1,16.3,220.0,6000.0,2008.0,0.0,False,True,True,False,False,False,True
230,6765,9,45.2,13.8,215.0,4750.0,2008.0,0.0,False,True,True,False,False,True,False
231,5735,11,45.2,16.4,223.0,5950.0,2008.0,0.0,False,True,True,False,False,False,True
232,5855,11,49.1,14.5,212.0,4625.0,2009.0,0.0,False,True,True,False,False,True,False
233,4372,8,52.5,15.6,221.0,5450.0,2009.0,0.0,False,True,True,False,False,False,True
234,4085,11,47.4,14.6,212.0,4725.0,2009.0,0.0,False,True,True,False,False,True,False
235,4854,8,50.0,18.018318318318318,224.0,5350.0,2009.0,0.0,False,True,True,False,False,False,True
236,6207,9,44.9,13.8,212.0,4750.0,2009.0,0.0,False,True,True,False,False,True,False
237,5825,14,50.8,17.3,228.0,5600.0,2009.0,0.0,False,True,True,False,False,False,True
238,4839,8,43.4,14.4,17.0,4600.0,2009.0,0.0,False,True,True,False,False,True,False
239,5446,9,51.3,14.2,218.0,5300.0,2009.0,0.0,False,True,True,False,False,False,True
240,6359,9,47.5,14.0,212.0,4875.0,2009.0,0.0,False,True,True,False,False,True,False
241,4542,13,52.1,17.0,230.0,5550.0,2009.0,0.0,False,True,True,False,False,False,True
242,7110,13,47.5,15.0,218.0,4950.0,2009.0,0.0,False,True,True,False,False,True,False
243,4150,7,52.2,17.1,228.0,5400.0,2009.0,0.0,False,True,True,False,False,False,True
244,5944,11,45.5,14.5,212.0,4750.0,2009.0,0.0,False,True,True,False,False,True,False
245,5828,13,49.5,16.1,224.0,5650.0,2009.0,0.0,False,True,True,False,False,False,True
246,3698,14,44.5,14.7,214.0,4850.0,2009.0,0.0,False,True,True,False,False,True,False
247,4856,10,50.8,15.7,226.0,5200.0,2009.0,0.0,False,True,True,False,False,False,True
248,4660,10,49.4,15.8,216.0,4925.0,2009.0,0.0,False,True,True,False,False,False,True
249,3681,10,46.9,14.6,222.0,4875.0,2009.0,0.0,False,True,True,False,False,True,False
250,5068,8,48.4,14.4,203.0,4625.0,2009.0,0.0,False,True,True,False,False,True,False
251,5698,11,51.1,16.5,225.0,5250.0,2009.0,0.0,False,True,True,False,False,False,True
252,5284,8,48.5,15.0,219.0,4850.0,2009.0,0.0,False,True,True,False,False,True,False
253,4970,7,55.9,17.0,228.0,5600.0,2009.0,0.0,False,True,True,False,False,False,True
254,3526,14,47.2,15.5,215.0,4975.0,2009.0,0.0,False,True,True,False,False,True,False
255,5551,7,49.1,15.0,228.0,5500.0,2009.0,0.0,False,True,True,False,False,False,True
256,4470,9,47.3,13.8,216.0,4725.0,2009.0,0.0,False,True,True,False,False,False,True
257,6336,7,46.8,16.1,215.0,5500.0,2009.0,0.0,False,True,True,False,False,False,True
258,3570,9,41.7,14.7,210.0,4700.0,2009.0,0.0,False,True,True,False,False,True,False
259,4854,12,53.4,15.8,219.0,5500.0,2009.0,0.0,False,True,True,False,False,False,True
260,3613,14,43.3,14.0,208.0,4575.0,2009.0,0.0,False,True,True,False,False,True,False
261,3852,13,48.1,18.018318318318318,209.0,5500.0,2009.0,0.0,False,True,True,False,False,False,True
262,6471,12,50.5,15.2,216.0,5000.0,2009.0,0.0,False,True,True,False,False,True,False
263,5384,14,49.8,15.9,229.0,5950.0,2009.0,0.0,False,True,True,False,False,False,True
264,5207,10,43.5,15.2,213.0,4650.0,2009.0,0.0,False,True,True,False,False,True,False
265,3705,13,51.5,16.3,230.0,5500.0,2009.0,0.0,False,True,True,False,False,False,True
266,3856,7,46.2,14.1,217.0,4375.0,2009.0,0.0,False,True,True,False,False,True,False
267,6077,7,55.1,16.0,230.0,5850.0,2009.0,0.0,False,True,True,False,False,False,True
268,3594,8,44.5,15.7,217.0,4875.0,2009.0,0.0,False,True,True,False,False,False,True
269,5000,13,48.8,16.2,222.0,6000.0,2009.0,0.0,False,True,True,False,False,False,True
270,6812,11,47.2,13.7,214.0,4925.0,2009.0,0.0,False,True,True,False,False,True,False
271,4040,13,45.49421364985163,18.018318318318318,190.0,3800.0,2009.0,0.0,False,True,True,False,False,True,False
272,5054,9,46.8,14.3,215.0,4850.0,2009.0,0.0,False,True,True,False,False,True,False
273,7142,7,50.4,15.7,222.0,5750.0,2009.0,0.0,False,True,True,False,False,False,True
274,4655,7,45.2,14.8,212.0,5200.0,2009.0,0.0,False,True,True,False,False,True,False
275,6622,10,49.9,16.1,213.0,5400.0,2009.0,0.0,False,True,True,False,False,False,True
276,4901,8,46.5,17.9,192.0,3500.0,2007.0,0.0,True,False,False,True,False,True,False
277,3931,7,50.0,19.5,196.0,3900.0,2007.0,0.0,True,False,False,True,False,False,True
278,4447,14,51.3,19.2,193.0,3650.0,2007.0,0.0,True,False,False,True,False,False,True
279,5337,9,116.67,18.7,190.0,3525.0,2007.0,0.0,True,False,False,True,False,True,False
280,4923,14,52.7,19.8,197.0,3725.0,2007.0,0.0,True,False,False,True,False,False,True
281,3923,7,45.2,17.8,198.0,3950.0,2007.0,0.0,True,False,False,True,False,True,False
282,4825,12,46.1,18.2,178.0,3250.0,2007.0,0.0,True,False,False,True,False,True,False
283,6791,14,51.3,18.2,190.0,882.0,2007.0,0.0,True,False,False,True,False,True,False
284,6177,8,46.0,18.9,195.0,4150.0,2007.0,0.0,True,False,False,True,False,True,False
285,4649,8,51.3,19.9,198.0,3700.0,2007.0,0.0,True,False,False,True,False,False,True
286,3941,9,46.6,17.8,193.0,3800.0,2007.0,0.0,True,False,False,True,False,True,False
287,5647,11,51.7,20.3,194.0,3775.0,2007.0,0.0,True,False,False,True,False,False,True
288,6331,11,47.0,17.3,185.0,3700.0,2007.0,0.0,True,False,False,True,False,True,False
289,5708,8,52.0,18.1,201.0,4050.0,2007.0,0.0,True,False,False,True,False,False,True
290,4424,11,45.9,17.1,190.0,3575.0,2007.0,0.0,True,False,False,True,False,True,False
